date,avg_SDS_P1,avg_SDS_P2,samples
2022-06-22,15.88,9.41,524
2022-06-23,18.46,7.6,525
2022-06-24,9.53,2.79,566
2022-06-25,3.78,1.35,575
2022-06-26,7.75,2.67,576
2022-06-27,13.42,3.56,578
2022-06-28,14.46,3.76,575
2022-06-29,8.06,2.35,569
2022-06-30,8.67,3.28,571
2022-07-01,6.95,3.23,575
2022-07-02,5.63,2.47,582
2022-07-03,6.52,3.75,566
2022-07-04,6.73,2.41,571
2022-07-05,5.51,2.4,576
2022-07-06,4.31,1.95,587
2022-07-07,4.42,2.16,586
2022-07-08,5.14,2.19,587
2022-07-09,3.06,1.04,585
2022-07-10,3.21,1.16,581
2022-07-11,4.53,1.47,572
2022-07-12,4.84,1.75,580
2022-07-13,5.41,2.29,574
2022-07-14,8.48,4.37,575
2022-07-15,6.81,4.13,574
2022-07-16,7.42,4.22,580
2022-07-17,7.48,4.58,588
2022-07-18,8.72,5.05,586
2022-07-19,8.26,4.19,582
2022-07-20,7.33,3.13,577
2022-07-21,9.07,4.32,583
2022-07-22,10.43,5.53,587
2022-07-23,11.08,6.33,586
2022-07-24,12.4,8.16,586
2022-07-25,12.2,7.62,588
2022-07-26,11.0,7.41,586
2022-07-27,5.5,3.4,581
2022-07-28,6.91,4.39,578
2022-07-29,4.75,2.8,579
2022-07-30,4.21,2.5,584
2022-07-31,2.91,1.41,585
2022-08-01,3.43,1.64,578
2022-08-02,4.91,2.12,578
2022-08-03,4.82,2.18,573
2022-08-04,4.89,2.26,561
2022-08-05,6.0,2.84,380
2022-08-07,2.9,1.92,338
2022-08-08,3.06,1.72,224
2022-09-01,5.21,2.94,293
2022-09-02,5.33,2.8,557
2022-09-03,7.38,4.76,503
2022-09-04,9.14,6.86,520
2022-09-05,9.56,6.73,540
2022-09-06,8.11,5.04,575
2022-09-07,12.3,7.93,568
2022-09-08,7.44,3.56,536
2022-09-09,6.13,3.09,574
2022-09-10,5.09,2.55,570
2022-09-11,3.48,1.55,570
2022-09-12,5.28,2.41,569
2022-09-13,8.1,4.35,561
2022-09-14,7.7,3.39,571
2022-09-15,8.19,2.86,570
2022-09-16,7.83,3.48,566
2022-09-17,2.8,1.15,572
2022-09-18,1.96,0.64,568
2022-09-19,2.54,0.79,554
2022-09-20,5.1,1.68,551
2022-09-21,4.9,1.67,556
2022-09-22,6.54,2.84,559
2022-09-23,8.09,3.9,556
2022-09-24,25.44,17.86,560
2022-09-25,20.17,15.31,554
2022-09-26,7.04,4.31,555
2022-09-27,11.35,7.41,562
2022-09-28,11.35,5.91,560
2022-09-29,12.53,6.12,559
2022-09-30,5.0,2.76,562
2022-10-01,6.32,3.95,554
2022-10-02,6.16,2.77,521
2022-10-03,15.57,8.32,516
2022-10-04,35.06,23.25,522
2022-10-05,43.46,28.94,528
2022-10-06,55.24,34.9,559
2022-10-07,29.14,18.21,562
2022-10-08,28.53,19.04,571
2022-10-09,33.83,21.06,575
2022-10-10,15.71,9.85,572
2022-10-11,19.43,11.13,573
2022-10-12,25.22,14.39,571
2022-10-13,49.37,28.24,578
2022-10-14,70.34,39.41,570
2022-10-15,72.68,40.39,573
2022-10-16,53.81,32.79,575
2022-10-17,53.67,31.43,572
2022-10-18,29.77,18.87,570
2022-10-19,30.9,16.07,566
2022-10-20,39.65,21.66,576
2022-10-21,37.63,21.38,571
2022-10-22,16.33,9.42,577
2022-10-23,12.99,6.82,573
2022-10-24,24.97,12.47,574
2022-10-25,11.31,5.24,572
2022-10-26,19.72,9.69,572
2022-10-27,18.04,8.93,574
2022-10-28,14.18,6.73,572
2022-10-29,11.26,4.92,568
2022-10-30,12.07,4.5,572
2022-10-31,15.12,5.22,570
2022-11-01,16.01,7.62,565
2022-11-02,24.42,13.89,550
2022-11-03,57.41,27.62,548
2022-11-04,2.98,1.43,540
2022-11-05,6.12,3.58,540
2022-11-06,11.06,5.68,555
2022-11-07,14.83,8.46,565
2022-11-08,16.51,9.9,559
2022-11-09,44.9,29.05,566
2022-11-10,43.85,27.66,560
2022-11-11,31.19,20.01,537
2022-11-12,25.73,16.59,563
2022-11-13,23.18,12.78,578
2022-11-14,38.61,22.85,568
2022-11-15,21.99,12.88,560
2022-11-16,18.69,11.82,543
2022-11-17,40.68,22.05,564
2022-11-18,31.18,17.24,556
2022-11-19,20.77,10.87,547
2022-11-20,14.49,8.14,559
2022-11-21,26.87,15.4,545
2022-11-22,21.23,11.32,567
2022-11-23,16.38,8.07,549
2022-11-24,17.85,10.29,574
2022-11-25,33.4,19.25,566
2022-11-26,25.19,15.27,572
2022-11-27,15.16,9.46,572
2022-11-28,27.54,15.75,567
2022-11-29,39.39,21.87,554
2022-11-30,47.24,23.56,575
2022-12-01,48.56,25.43,568
2022-12-02,23.53,13.41,582
2022-12-03,38.92,21.13,574
2022-12-04,21.28,13.34,564
2022-12-05,36.12,18.98,560
2022-12-06,30.26,17.56,556
2022-12-07,42.86,24.57,564
2022-12-08,48.35,27.95,570
2022-12-09,33.89,19.63,568
2022-12-10,67.34,27.5,566
2022-12-11,21.66,11.91,575
2022-12-12,33.13,17.74,562
2022-12-13,60.56,29.16,567
2022-12-14,66.77,34.22,535
2022-12-15,41.53,23.28,509
2022-12-16,25.58,14.74,102
2022-12-17,51.68,26.5,255
2022-12-18,41.49,21.56,562
2022-12-19,65.47,31.59,566
2022-12-20,58.9,33.82,559
2022-12-21,78.42,45.05,534
2022-12-22,77.1,40.97,486
2022-12-23,105.02,50.31,561
2022-12-24,120.21,52.5,555
2022-12-25,86.53,42.38,528
2022-12-26,77.18,41.65,505
2022-12-27,74.31,35.39,515
2022-12-28,67.54,33.94,556
2022-12-29,98.94,48.28,542
2022-12-30,56.04,29.62,539
2022-12-31,63.97,39.19,536
